"Mali";"Bamako";"MLI";"Africa";"http://maps.googleapis.com/maps/api/staticmap?center=MALI&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Myanmar [Burma]";"Nay Pyi Taw";"MMR";"Asia";"http://maps.googleapis.com/maps/api/staticmap?center=MYANMAR [BURMA]&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Mongolia";"Ulan Bator";"MNG";"Asia";"http://maps.googleapis.com/maps/api/staticmap?center=MONGOLIA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Macau";"Macao";"MAC";"Asia";"http://maps.googleapis.com/maps/api/staticmap?center=MACAU&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Northern Mariana Islands";"No data";"MNP";"Oceania";"http://maps.googleapis.com/maps/api/staticmap?center=NORTHERN MARIANA ISLANDS&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Martinique";"Fort-de-France";"MTQ";"North America";"http://maps.googleapis.com/maps/api/staticmap?center=MARTINIQUE&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Mauritania";"Nouakchott";"MRT";"Africa";"http://maps.googleapis.com/maps/api/staticmap?center=MAURITANIA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Montserrat";"Plymouth";"MSR";"North America";"http://maps.googleapis.com/maps/api/staticmap?center=MONTSERRAT&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Malta";"Valletta";"MLT";"Europe";"http://maps.googleapis.com/maps/api/staticmap?center=MALTA&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
"Mauritius";"Port Louis";"MUS";"Africa";"http://maps.googleapis.com/maps/api/staticmap?center=MAURITIUS&zoom=3&size=400x400&scale=2&maptype=hybrid&sensor=true"
